description;code;price;category;id
tnpf-desc;PRD-PXY;174.36;R;297
rvoa-desc;PRD-XNM;522.65;W;298
rrdj-desc;PRD-BMF;364.07;G;299
tuux-desc;PRD-TEI;712.44;C;300
jdru-desc;PRD-PRA;1059.70;C;301
qang-desc;PRD-RBH;719.16;E;302
yiem-desc;PRD-HJS;808.67;I;303
izgg-desc;PRD-ZYY;727.57;J;304
uadf-desc;PRD-QNY;393.61;G;305
roxj-desc;PRD-ZQF;278.59;W;306
vtgb-desc;PRD-XXS;729.43;T;307
osfa-desc;PRD-TYO;659.94;G;308
samx-desc;PRD-VYZ;544.20;M;309
esnn-desc;PRD-PXD;537.68;V;310
cuag-desc;PRD-QUB;554.03;D;311
exiq-desc;PRD-FUC;815.49;H;312
lbrq-desc;PRD-SYM;785.68;J;313
yuts-desc;PRD-QRL;272.93;M;314
gyxk-desc;PRD-ISM;199.76;X;315
dihu-desc;PRD-QES;526.20;B;316
hqol-desc;PRD-CEQ;1072.30;Q;317
xpua-desc;PRD-FYR;191.69;R;318
cyrx-desc;PRD-HZK;845.55;A;319
mdjz-desc;PRD-VMD;243.45;K;320
uuvd-desc;PRD-HQC;641.65;Y;321
etzk-desc;PRD-GKN;637.74;F;322
yqcu-desc;PRD-XDJ;1018.97;Q;323
dotj-desc;PRD-OMR;541.76;C;324
rcmw-desc;PRD-MUC;152.87;I;325
mbku-desc;PRD-KKZ;429.00;T;326
muqw-desc;PRD-OWU;645.49;O;327
oqzr-desc;PRD-GOD;880.97;L;328
lpda-desc;PRD-ACQ;957.09;S;329
ehvt-desc;PRD-YBB;925.85;Q;330
tmpx-desc;PRD-HAW;739.85;T;331
izmk-desc;PRD-CBU;921.06;D;332
jrqo-desc;PRD-DOV;520.02;B;333
njpo-desc;PRD-NSA;390.31;H;334
ahic-desc;PRD-NEI;482.62;Y;335
nshf-desc;PRD-UNG;411.31;L;336
metf-desc;PRD-CHB;970.92;R;337
xzik-desc;PRD-CXG;439.71;P;338
mdxz-desc;PRD-QOL;520.07;C;339
uyff-desc;PRD-RNK;184.43;G;340
wzui-desc;PRD-VWO;237.42;A;341
kayq-desc;PRD-UGZ;922.62;I;342
htyc-desc;PRD-RHP;450.94;V;343
avtj-desc;PRD-PYN;576.15;O;344
lieh-desc;PRD-BZR;242.35;K;345
lmaj-desc;PRD-ZLZ;850.74;B;346
smua-desc;PRD-OPM;621.53;D;347
hqng-desc;PRD-IGB;662.25;A;348
kkhp-desc;PRD-VCR;186.44;L;349
jxeb-desc;PRD-DKY;1107.13;L;350
gdoq-desc;PRD-BOS;538.55;N;351
nibm-desc;PRD-GVX;1057.41;Z;352
powy-desc;PRD-WFG;1020.02;D;353
uzwh-desc;PRD-OAG;519.51;D;354
uhqv-desc;PRD-KNH;429.12;Y;355
qjvx-desc;PRD-LHK;653.99;W;356
mhan-desc;PRD-VSZ;817.12;J;357
qcwh-desc;PRD-TUZ;536.68;J;358
tjkt-desc;PRD-WTU;728.11;Z;359
bylt-desc;PRD-LKY;594.15;A;360
ercg-desc;PRD-FTW;906.94;L;361
ydzg-desc;PRD-EOU;176.74;C;362
zoxn-desc;PRD-LFM;555.60;G;363
vbge-desc;PRD-WSF;964.70;Q;364
bypv-desc;PRD-IKU;290.66;R;365
loeo-desc;PRD-WLR;1127.89;O;366
wkjc-desc;PRD-MZE;560.16;W;367
nkzn-desc;PRD-ZHZ;181.88;N;368
vbll-desc;PRD-YRX;1075.39;N;369
qmzj-desc;PRD-NET;875.41;P;370
qjeu-desc;PRD-VDR;848.88;K;371
tkwz-desc;PRD-QJG;791.73;Z;372
giso-desc;PRD-HNU;392.68;T;373
ncne-desc;PRD-ZVO;503.27;H;374
frtn-desc;PRD-KTF;1100.86;G;375
upjy-desc;PRD-NFG;452.25;P;376
gtit-desc;PRD-MGK;535.56;P;377
ebte-desc;PRD-RRX;374.08;B;378
yhbp-desc;PRD-XLM;368.00;J;379
zvzk-desc;PRD-VQQ;184.20;C;380
aasi-desc;PRD-SZH;845.72;E;381
fnke-desc;PRD-LVI;228.30;D;382
tsaw-desc;PRD-ICF;505.53;P;383
gjfg-desc;PRD-HYJ;580.56;T;384
wlmz-desc;PRD-BQS;211.88;P;385
zuxb-desc;PRD-GBN;361.57;Q;386
ldmq-desc;PRD-IVV;644.49;Y;387
kcsp-desc;PRD-QAJ;547.98;H;388
xwba-desc;PRD-CFH;900.37;X;389
oqpj-desc;PRD-AEU;438.70;O;390
nqes-desc;PRD-QEI;619.23;Z;391
shuk-desc;PRD-XGO;318.83;Y;392
xhlt-desc;PRD-QFG;830.95;R;393
tdoi-desc;PRD-YBE;183.14;D;394
mhkt-desc;PRD-LUP;795.23;W;395
zulj-desc;PRD-CBO;918.77;U;396
wmps-desc;PRD-FUD;333.44;M;397
ujla-desc;PRD-SVQ;643.11;V;398
rarz-desc;PRD-DTK;306.09;M;399
sidn-desc;PRD-JCY;1002.07;Q;400
bmle-desc;PRD-PXF;874.90;A;401
jzwj-desc;PRD-DVE;978.39;H;402
rfer-desc;PRD-HBT;303.36;S;403
ugge-desc;PRD-CBQ;976.00;H;404
dlmu-desc;PRD-LPG;232.55;D;405
vpvu-desc;PRD-HJO;736.27;E;406
qxlw-desc;PRD-ABQ;448.46;A;407
rohr-desc;PRD-YNB;625.43;W;408
gguz-desc;PRD-RXS;1104.20;R;409
zpqz-desc;PRD-YAR;391.01;M;410
kylz-desc;PRD-UHE;533.71;O;411
teqy-desc;PRD-RAT;1020.13;U;412
wgzw-desc;PRD-WNE;195.65;W;413
ifmr-desc;PRD-HSN;507.78;C;414
dycu-desc;PRD-IKY;807.56;H;415
ctau-desc;PRD-KFX;339.88;R;416
issk-desc;PRD-RKP;403.81;O;417
eyul-desc;PRD-ODT;260.46;K;418
bavp-desc;PRD-REZ;298.95;K;419
izrf-desc;PRD-SID;386.10;J;420
zhpv-desc;PRD-GSK;824.63;L;421
amdp-desc;PRD-BNF;181.84;J;422
homy-desc;PRD-EKP;186.87;E;423
iuzs-desc;PRD-ZGA;964.02;Y;424
kzve-desc;PRD-RND;956.40;J;425
mfty-desc;PRD-RPI;955.86;F;426
yuyi-desc;PRD-TGR;1043.07;C;427
pklq-desc;PRD-QFV;1015.43;J;428
ujec-desc;PRD-QVH;641.85;P;429
grbo-desc;PRD-FWK;772.80;E;430
kucj-desc;PRD-BOX;589.75;L;431
ljsf-desc;PRD-MOH;359.74;O;432
rmgz-desc;PRD-NGD;996.85;K;433
fevt-desc;PRD-CGJ;262.17;C;434
zata-desc;PRD-QDE;458.49;X;435
uwcw-desc;PRD-HGM;159.86;S;436
dmew-desc;PRD-XDT;808.41;I;437
hrye-desc;PRD-CCO;291.97;V;438
yznx-desc;PRD-JNJ;312.68;B;439
sdok-desc;PRD-EPT;769.40;H;440
fziy-desc;PRD-VMB;651.68;I;441
mnal-desc;PRD-MRY;978.85;Y;442
ztaf-desc;PRD-KPW;603.23;D;443
oyvz-desc;PRD-YXC;438.98;V;444
ainh-desc;PRD-ADN;273.26;J;445
nfxx-desc;PRD-QER;1090.68;B;446
ynzx-desc;PRD-YTY;165.41;R;447
nkkw-desc;PRD-AQN;462.09;G;448
cffh-desc;PRD-QVS;617.41;K;449
yfia-desc;PRD-BCT;641.06;W;450
uogz-desc;PRD-KJD;834.58;M;451
cdzq-desc;PRD-DGB;724.55;M;452
judh-desc;PRD-BQJ;231.84;U;453
vlum-desc;PRD-KON;874.75;V;454
mpib-desc;PRD-GWL;259.72;X;455
bedb-desc;PRD-CVI;286.76;E;456
pijq-desc;PRD-VLV;681.77;W;457
dzbt-desc;PRD-ICX;1023.76;K;458
qstq-desc;PRD-WAC;1125.55;J;459
tmca-desc;PRD-HUH;574.30;T;460
zpcx-desc;PRD-ASK;1023.30;M;461
tivg-desc;PRD-ONS;175.62;I;462
gict-desc;PRD-IXW;1057.81;S;463
rtpo-desc;PRD-VPN;979.74;O;464
siqn-desc;PRD-IYG;341.68;P;465
zcub-desc;PRD-WTH;338.65;C;466
cwrm-desc;PRD-ZPX;580.74;O;467
njaj-desc;PRD-VEH;187.64;U;468
ttac-desc;PRD-SRH;845.17;V;469
ybku-desc;PRD-LGU;313.25;P;470
rwwe-desc;PRD-UUI;622.07;Z;471
dtfw-desc;PRD-AYP;324.40;D;472
srvh-desc;PRD-RON;1021.82;O;473
niuy-desc;PRD-BZC;284.24;B;474
iypy-desc;PRD-GWD;217.75;L;475
tzab-desc;PRD-YEK;1106.19;F;476
elus-desc;PRD-SIX;914.39;D;477
jima-desc;PRD-AOM;1135.83;R;478
heas-desc;PRD-REF;257.37;V;479
spbe-desc;PRD-YGS;510.62;Q;480
ygty-desc;PRD-CVJ;647.79;J;481
lezq-desc;PRD-BIW;359.14;V;482
ctvc-desc;PRD-IVB;330.80;Z;483
zldb-desc;PRD-EQL;1131.55;U;484
pnfs-desc;PRD-IZV;953.55;P;485
fova-desc;PRD-QDI;1071.70;K;486
bbon-desc;PRD-LVK;987.54;R;487
oman-desc;PRD-SIY;291.59;Y;488
wrzu-desc;PRD-RGD;577.74;D;489
rnjy-desc;PRD-UHW;1098.77;G;490
sgyj-desc;PRD-ZZI;1002.78;S;491
rtjg-desc;PRD-TPP;183.08;L;492
awxb-desc;PRD-XRS;1131.33;I;493
zpkj-desc;PRD-SBV;278.43;H;494
qzbn-desc;PRD-WAD;557.13;M;495
wyuj-desc;PRD-CEL;785.78;M;496
gran-desc;PRD-DGG;1146.30;G;497
baiq-desc;PRD-IKZ;1145.61;L;498
ajbf-desc;PRD-LGI;582.24;G;499
kstk-desc;PRD-HJN;1068.47;Q;500
qylw-desc;PRD-MOY;835.98;G;501
bmwn-desc;PRD-IQX;924.26;E;502
pimo-desc;PRD-NQI;900.17;O;503
tpeo-desc;PRD-LHZ;1021.60;W;504
skok-desc;PRD-WCK;324.87;F;505
cjph-desc;PRD-AZX;313.18;E;506
fqzi-desc;PRD-UEK;191.66;S;507
ivqp-desc;PRD-YZJ;389.42;W;508
mvzk-desc;PRD-TYJ;910.86;Y;509
eqzy-desc;PRD-QXQ;887.15;E;510
brjz-desc;PRD-UZC;267.11;X;511
stmd-desc;PRD-VEP;572.47;J;512
ethr-desc;PRD-XKQ;252.05;Y;513
jymp-desc;PRD-SQW;1053.91;D;514
huvt-desc;PRD-RBD;583.45;T;515
mrgj-desc;PRD-JGX;1055.44;T;516
yemt-desc;PRD-HMF;230.70;L;517
hqzz-desc;PRD-YFJ;406.45;R;518
uode-desc;PRD-DPW;451.49;T;519
sfvz-desc;PRD-KYO;879.91;Z;520
vwuz-desc;PRD-PPW;638.13;U;521
siag-desc;PRD-ZEE;990.95;L;522
tpzm-desc;PRD-QNH;910.11;U;523
fepy-desc;PRD-ITO;1128.27;W;524
stbf-desc;PRD-FYM;747.83;N;525
vrjj-desc;PRD-SAC;472.52;B;526
fybd-desc;PRD-PMQ;807.63;L;527
gunc-desc;PRD-CFM;1112.40;X;528
duwx-desc;PRD-YYT;297.58;E;529
cjrs-desc;PRD-GTE;424.27;J;530
bmzi-desc;PRD-CUS;224.85;G;531
jvtq-desc;PRD-JTZ;969.48;Q;532
nwyw-desc;PRD-GWL;386.98;J;533
dihf-desc;PRD-PNA;989.26;J;534
toyd-desc;PRD-XEN;1000.84;O;535
rbxs-desc;PRD-WVF;657.51;P;536
fnww-desc;PRD-PTG;313.49;U;537
bdax-desc;PRD-PNF;971.04;J;538
jivh-desc;PRD-MJE;779.20;D;539
kacf-desc;PRD-CPV;914.13;N;540
fahw-desc;PRD-RHU;417.69;G;541
eynk-desc;PRD-QZM;994.88;J;542
aypz-desc;PRD-BKP;681.50;L;543
sbnv-desc;PRD-YMQ;595.16;C;544
fztm-desc;PRD-HYQ;587.74;Z;545
rrvv-desc;PRD-PBS;750.50;P;546
gvjv-desc;PRD-EAB;433.94;I;547
nvur-desc;PRD-CUI;942.94;E;548
fsxd-desc;PRD-IVH;183.31;V;549
czby-desc;PRD-ZTU;475.94;N;550
lyhd-desc;PRD-JTB;524.47;G;551
ktbc-desc;PRD-FXC;749.44;X;552
feso-desc;PRD-HIE;780.92;W;553
tqof-desc;PRD-XLU;773.50;W;554
sgrm-desc;PRD-AKX;749.80;E;555
llon-desc;PRD-DSQ;1075.76;C;556
czae-desc;PRD-EFP;315.31;J;557
rljm-desc;PRD-XIR;559.92;U;558
foon-desc;PRD-EYW;325.13;G;559
acug-desc;PRD-LVI;166.82;P;560
ydop-desc;PRD-OVH;895.86;P;561
pgjz-desc;PRD-BEQ;446.85;H;562
jmjr-desc;PRD-FPC;574.26;B;563
bcyh-desc;PRD-TWB;458.97;N;564
ijjz-desc;PRD-BZL;812.00;K;565
qico-desc;PRD-UXH;1121.37;J;566
zgmb-desc;PRD-IHY;1093.62;Z;567
igoo-desc;PRD-WKQ;1118.39;P;568
mrwv-desc;PRD-KUS;1008.70;Q;569
nnjj-desc;PRD-YBJ;352.62;K;570
gpmk-desc;PRD-CCZ;191.02;F;571
yqlu-desc;PRD-WYD;369.33;W;572
wcdz-desc;PRD-VOQ;610.39;E;573
esvo-desc;PRD-QQC;1086.93;W;574
iqxc-desc;PRD-ITN;338.52;D;575
mvyp-desc;PRD-LRZ;973.63;B;576
yyyf-desc;PRD-PEK;901.31;P;577
itlh-desc;PRD-RHZ;712.56;N;578
klnf-desc;PRD-KVL;348.28;U;579
rqpe-desc;PRD-JDS;607.20;G;580
vfam-desc;PRD-YKS;530.22;W;581
klau-desc;PRD-BBV;974.17;I;582
hche-desc;PRD-PQL;981.49;F;583
pawv-desc;PRD-HVB;543.58;U;584
cvrr-desc;PRD-WAM;599.17;C;585
lzhu-desc;PRD-BKY;197.83;A;586
zccs-desc;PRD-GHY;732.54;Q;587
mqaz-desc;PRD-ORI;1001.56;H;588
lbvd-desc;PRD-EEN;719.07;D;589
